id,problem_set_id,level,name,wall,type,memo,photo,key_move
1,1,ピンク,1,F,未設定,,,
2,1,ピンク,2,E,未設定,,,
3,1,ピンク,3,E,未設定,,,
4,1,ピンク,4,E,未設定,,,
5,1,ピンク,5,D,未設定,,,
6,1,ピンク,6,D,未設定,,,
7,1,ピンク,7,D,未設定,,,
8,1,ピンク,8,C,未設定,,,
9,1,ピンク,9,C,未設定,,,
10,1,ピンク,10,B,未設定,,,
11,1,ピンク,11,B,未設定,,,
12,1,ピンク,12,B,未設定,,,
13,1,ピンク,13,A,未設定,,,
14,1,ピンク,14,A,未設定,,,
15,1,ピンク,15,A,未設定,,,
16,1,ミドリ,1,F,未設定,,,
17,1,ミドリ,2,E,未設定,,,
18,1,ミドリ,3,E,未設定,,,
19,1,ミドリ,4,E,未設定,,,
20,1,ミドリ,5,D,未設定,,,
21,1,ミドリ,6,D,未設定,,,
22,1,ミドリ,7,D,未設定,,,
23,1,ミドリ,8,C,未設定,,,
24,1,ミドリ,9,C,未設定,,,
25,1,ミドリ,10,B,未設定,,,
26,1,ミドリ,11,B,未設定,,,
27,1,ミドリ,12,B,未設定,,,
28,1,ミドリ,13,A,未設定,,,
29,1,ミドリ,14,A,未設定,,,
30,1,ミドリ,15,A,未設定,,,
31,1,キイロ,1,F,未設定,,,
32,1,キイロ,2,E,未設定,,,
33,1,キイロ,3,E,未設定,,,
34,1,キイロ,4,E,未設定,,,
35,1,キイロ,5,D,未設定,,,
36,1,キイロ,6,D,未設定,,,
37,1,キイロ,7,D,未設定,,,
38,1,キイロ,8,C,未設定,,,
39,1,キイロ,9,C,未設定,,,
40,1,キイロ,10,B,未設定,,,
41,1,キイロ,11,B,未設定,,,
42,1,キイロ,12,B,未設定,,,
43,1,キイロ,13,A,未設定,,,
44,1,キイロ,14,A,未設定,,,
45,1,キイロ,15,A,未設定,,,
46,1,オレンジ,1,F,未設定,,,
47,1,オレンジ,2,E,未設定,,,
48,1,オレンジ,3,E,未設定,,,
49,1,オレンジ,4,E,未設定,,,
50,1,オレンジ,5,D,未設定,,,
51,1,オレンジ,6,D,未設定,,,
52,1,オレンジ,7,D,未設定,,,
53,1,オレンジ,8,C,未設定,,,
54,1,オレンジ,9,C,未設定,,,
55,1,オレンジ,10,B,未設定,,,
56,1,オレンジ,11,B,未設定,,,
57,1,オレンジ,12,B,未設定,,,
58,1,オレンジ,13,A,未設定,,,
59,1,オレンジ,14,A,未設定,,,
60,1,オレンジ,15,A,未設定,,,
61,1,茶,1,F,未設定,,,
62,1,茶,2,E,未設定,,,
63,1,茶,3,E,未設定,,,
64,1,茶,4,E,未設定,,,
65,1,茶,5,D,未設定,,,
66,1,茶,6,D,未設定,,,
67,1,茶,7,D,未設定,,,
68,1,茶,8,C,未設定,,,
69,1,茶,9,C,未設定,,,
70,1,茶,10,B,未設定,,,
71,1,茶,11,B,未設定,,,
72,1,茶,12,B,未設定,,,
73,1,茶,13,A,未設定,,,
74,1,茶,14,A,未設定,,,
75,1,茶,15,A,未設定,,,
76,1,紺,1,F,未設定,,,
77,1,紺,2,E,未設定,,,
78,1,紺,3,E,未設定,,,
79,1,紺,4,E,未設定,,,
80,1,紺,5,D,未設定,,,
81,1,紺,6,D,未設定,,,
82,1,紺,7,D,未設定,,,
83,1,紺,8,C,未設定,,,
84,1,紺,9,C,未設定,,,
85,1,紺,10,B,未設定,,,
86,1,紺,11,B,未設定,,,
87,1,紺,12,B,未設定,,,
88,1,紺,13,A,未設定,,,
89,1,紺,14,A,未設定,,,
90,1,紺,15,A,未設定,,,
91,1,灰,1,F,未設定,,,
92,1,灰,2,E,未設定,,,
93,1,灰,3,E,未設定,,,
94,1,灰,4,E,未設定,,,
95,1,灰,5,D,未設定,,,
96,1,灰,6,D,未設定,,,
97,1,灰,7,D,未設定,,,
98,1,灰,8,C,未設定,,,
99,1,灰,9,C,未設定,,,
100,1,灰,10,B,未設定,,,
101,1,灰,11,B,未設定,,,
102,1,灰,12,B,未設定,,,
103,1,灰,13,A,未設定,,,
104,1,灰,14,A,未設定,,,
105,1,灰,15,A,未設定,,,
106,1,黒,1,F,未設定,,,
107,1,黒,2,E,未設定,,,
108,1,黒,3,E,未設定,,,
109,1,黒,4,E,未設定,,,
110,1,黒,5,D,未設定,,,
111,1,黒,6,D,未設定,,,
112,1,黒,7,D,未設定,,,
113,1,黒,8,C,未設定,,,
114,1,黒,9,C,未設定,,,
115,1,黒,10,B,未設定,,,
116,1,黒,11,B,未設定,,,
117,1,黒,12,B,未設定,,,
118,1,黒,13,A,未設定,,,
119,1,黒,14,A,未設定,,,
120,1,黒,15,A,未設定,,,
121,1,紫,1,A,未設定,,,
122,1,紫,2,B,未設定,,,
123,2,白,1,A,未設定,,,
124,2,白,2,A,未設定,,,
125,2,白,3,A,未設定,,,
126,2,白,4,A,未設定,,,
127,2,白,5,A,未設定,,,
128,2,白,6,A,未設定,,,
129,2,白,7,A,未設定,,,
130,2,白,8,A,未設定,,,
131,2,白,9,A,未設定,,,
132,2,白,10,A,未設定,,,
133,2,水色,1,A,未設定,,,
134,2,水色,2,A,未設定,,,
135,2,水色,3,A,未設定,,,
136,2,水色,4,A,未設定,,,
137,2,水色,5,A,未設定,,,
138,2,水色,6,A,未設定,,,
139,2,水色,7,A,未設定,,,
140,2,水色,8,A,未設定,,,
141,2,水色,9,A,未設定,,,
142,2,水色,10,A,未設定,,,
143,2,赤,1,A,未設定,,,
144,2,赤,2,A,未設定,,,
145,2,赤,3,A,未設定,,,
146,2,赤,4,A,未設定,,,
147,2,赤,5,A,未設定,,,
148,3,白,イ,A,未設定,,,
149,3,白,ロ,A,未設定,,,
150,3,白,ハ,A,未設定,,,
151,3,白,二,A,未設定,,,
152,3,白,ホ,A,未設定,,,
153,3,白,ヘ,A,未設定,,,
154,3,白,ト,A,未設定,,,
155,3,白,チ,A,未設定,,,
156,3,白,リ,A,未設定,,,
157,3,白,ヌ,A,未設定,,,
158,3,水色,イ,A,未設定,,,
159,3,水色,ロ,A,未設定,,,
160,3,水色,ハ,A,未設定,,,
161,3,水色,二,A,未設定,,,
162,3,水色,ホ,A,未設定,,,
163,3,水色,ヘ,A,未設定,,,
164,3,水色,ト,A,未設定,,,
165,3,水色,チ,A,未設定,,,
166,3,水色,リ,A,未設定,,,
167,3,水色,ヌ,A,未設定,,,
168,3,赤,イ,A,未設定,,,
169,3,赤,ロ,A,未設定,,,
170,3,赤,ハ,A,未設定,,,
171,3,赤,二,A,未設定,,,
172,3,赤,ホ,A,未設定,,,
173,4,白,A,A,未設定,,,
174,4,白,B,A,未設定,,,
175,4,白,C,A,未設定,,,
176,4,白,D,A,未設定,,,
177,4,白,E,A,未設定,,,
178,4,白,F,A,未設定,,,
179,4,白,G,A,未設定,,,
180,4,白,H,A,未設定,,,
181,4,白,I,A,未設定,,,
182,4,白,J,A,未設定,,,
183,4,水色,A,A,未設定,,,
184,4,水色,B,A,未設定,,,
185,4,水色,C,A,未設定,,,
186,4,水色,D,A,未設定,,,
187,4,水色,E,A,未設定,,,
188,4,水色,F,A,未設定,,,
189,4,水色,G,A,未設定,,,
190,4,水色,H,A,未設定,,,
191,4,水色,I,A,未設定,,,
192,4,水色,J,A,未設定,,,
193,4,赤,A,A,未設定,,,
194,4,赤,B,A,未設定,,,
195,4,赤,C,A,未設定,,,
196,4,赤,D,A,未設定,,,
197,4,赤,E,A,未設定,,,
198,5,白,1,A,未設定,,,
199,5,白,2,A,未設定,,,
200,5,白,3,A,未設定,,,
201,5,白,4,A,未設定,,,
202,5,白,5,A,未設定,,,
203,5,白,6,A,未設定,,,
204,5,白,7,A,未設定,,,
205,5,白,8,A,未設定,,,
206,5,白,9,A,未設定,,,
207,5,白,10,A,未設定,,,
208,5,水色,1,A,未設定,,,
209,5,水色,2,A,未設定,,,
210,5,水色,3,A,未設定,,,
211,5,水色,4,A,未設定,,,
212,5,水色,5,A,未設定,,,
213,5,水色,6,A,未設定,,,
214,5,水色,7,A,未設定,,,
215,5,水色,8,A,未設定,,,
216,5,水色,9,A,未設定,,,
217,5,水色,10,A,未設定,,,
218,5,赤,1,A,未設定,,,
219,5,赤,2,A,未設定,,,
220,5,赤,3,A,未設定,,,
221,5,赤,4,A,未設定,,,
222,5,赤,5,A,未設定,,,
223,6,白,イ,A,未設定,,,
224,6,白,ロ,A,未設定,,,
225,6,白,ハ,A,未設定,,,
226,6,白,二,A,未設定,,,
227,6,白,ホ,A,未設定,,,
228,6,白,ヘ,A,未設定,,,
229,6,白,ト,A,未設定,,,
230,6,白,チ,A,未設定,,,
231,6,白,リ,A,未設定,,,
232,6,白,ヌ,A,未設定,,,
233,6,水色,イ,A,未設定,,,
234,6,水色,ロ,A,未設定,,,
235,6,水色,ハ,A,未設定,,,
236,6,水色,二,A,未設定,,,
237,6,水色,ホ,A,未設定,,,
238,6,水色,ヘ,A,未設定,,,
239,6,水色,ト,A,未設定,,,
240,6,水色,チ,A,未設定,,,
241,6,水色,リ,A,未設定,,,
242,6,水色,ヌ,A,未設定,,,
243,6,赤,イ,A,未設定,,,
244,6,赤,ロ,A,未設定,,,
245,6,赤,ハ,A,未設定,,,
246,6,赤,二,A,未設定,,,
247,6,赤,ホ,A,未設定,,,
248,7,ピンク,1,F,未設定,,,
249,7,ピンク,2,E,未設定,,,
250,7,ピンク,3,E,未設定,,,
251,7,ピンク,4,D,未設定,,,
252,7,ピンク,5,D,未設定,,,
253,7,ピンク,6,C,未設定,,,
254,7,ピンク,7,B,未設定,,,
255,7,ピンク,8,B,未設定,,,
256,7,ピンク,9,A,未設定,,,
257,7,ピンク,10,A,未設定,,,
263,7,ミドリ,1,F,未設定,,,
264,7,ミドリ,2,E,未設定,,,
265,7,ミドリ,3,E,未設定,,,
266,7,ミドリ,4,D,未設定,,,
267,7,ミドリ,5,C,未設定,,,
268,7,ミドリ,6,C,未設定,,,
269,7,ミドリ,7,B,未設定,,,
270,7,ミドリ,8,B,未設定,,,
271,7,ミドリ,9,A,未設定,,,
272,7,ミドリ,10,A,未設定,,,
278,7,キイロ,1,F,未設定,,,
279,7,キイロ,2,E,未設定,,,
280,7,キイロ,3,E,未設定,,,
281,7,キイロ,4,D,未設定,,,
282,7,キイロ,5,E,未設定,,,
283,7,キイロ,6,C,未設定,,,
284,7,キイロ,7,B,未設定,,,
285,7,キイロ,8,B,未設定,,,
286,7,キイロ,9,A,未設定,,,
287,7,キイロ,10,A,未設定,,,
293,7,オレンジ,1,F,未設定,,,
294,7,オレンジ,2,E,未設定,,,
295,7,オレンジ,3,E,未設定,,,
296,7,オレンジ,4,D,未設定,,,
297,7,オレンジ,5,C,未設定,,,
298,7,オレンジ,6,C,未設定,,,
299,7,オレンジ,7,B,未設定,,,
300,7,オレンジ,8,B,未設定,,,
301,7,オレンジ,9,B,未設定,,,
302,7,オレンジ,10,A,未設定,,,
303,7,オレンジ,11,A,未設定,,,
308,7,茶,1,F,未設定,,,
309,7,茶,2,F,未設定,,,
310,7,茶,3,E,未設定,,,
311,7,茶,4,E,未設定,,,
312,7,茶,5,D,未設定,,,
313,7,茶,6,C,未設定,,,
314,7,茶,7,C,未設定,,,
315,7,茶,8,B,未設定,,,
316,7,茶,9,B,未設定,,,
317,7,茶,10,A,未設定,,,
318,7,茶,11,A,未設定,,,
323,7,紺,1,F,未設定,,,
324,7,紺,2,E,未設定,,,
325,7,紺,3,E,未設定,,,
326,7,紺,4,D,未設定,,,
327,7,紺,5,D,未設定,,,
328,7,紺,6,C,未設定,,,
329,7,紺,7,C,未設定,,,
330,7,紺,8,C,未設定,,,
331,7,紺,9,B,未設定,,,
332,7,紺,10,B,未設定,,,
333,7,紺,11,A,未設定,,,
334,7,紺,12,A,未設定,,,
338,7,灰,1,F,未設定,,,
339,7,灰,2,E,未設定,,,
340,7,灰,3,E,未設定,,,
341,7,灰,4,D,未設定,,,
342,7,灰,5,C,未設定,,,
343,7,灰,6,C,未設定,,,
344,7,灰,7,C,未設定,,,
345,7,灰,8,C,未設定,,,
346,7,灰,9,B,未設定,,,
347,7,灰,10,B,未設定,,,
348,7,灰,11,A,未設定,,,
349,7,灰,12,A,未設定,,,
353,7,黒,1,E,未設定,,,
354,7,黒,2,E,未設定,,,
355,7,黒,3,D,未設定,,,
356,7,黒,4,C,未設定,,,
357,7,黒,5,C,未設定,,,
358,7,黒,6,C,未設定,,,
359,7,黒,7,C,未設定,,,
360,7,黒,8,B,未設定,,,
361,7,黒,9,B,未設定,,,
362,7,黒,10,B,未設定,,,
363,7,黒,11,A,未設定,,,
364,7,黒,12,A,未設定,,,
365,7,紫,1,E,未設定,,,
366,7,紫,2,E,未設定,,,
367,7,紫,3,D,未設定,,,
368,7,紫,4,C,未設定,,,
369,7,紫,5,C,未設定,,,
370,7,紫,6,C,未設定,,,
371,7,紫,7,B,未設定,,,
372,7,紫,8,B,未設定,,,
373,7,紫,9,A,未設定,,,
374,7,紫,10,A,未設定,,,
375,7,紫,11,A,未設定,,,
376,7,紫,12,A,未設定,,,
377,8,白,1,A,未設定,,,
378,8,白,2,A,未設定,,,
379,8,白,3,A,未設定,,,
380,8,白,4,A,未設定,,,
381,8,白,5,A,未設定,,,
382,8,白,6,A,未設定,,,
383,8,白,7,A,未設定,,,
384,8,白,8,A,未設定,,,
385,8,白,9,A,未設定,,,
386,8,白,10,A,未設定,,,
387,8,水色,1,A,未設定,,,
388,8,水色,2,A,未設定,,,
389,8,水色,3,A,未設定,,,
390,8,水色,4,A,未設定,,,
391,8,水色,5,A,未設定,,,
392,8,水色,6,A,未設定,,,
393,8,水色,7,A,未設定,,,
394,8,水色,8,A,未設定,,,
395,8,水色,9,A,未設定,,,
396,8,水色,10,A,未設定,,,
397,8,赤,1,A,未設定,,,
398,8,赤,2,A,未設定,,,
399,8,赤,3,A,未設定,,,
400,8,赤,4,A,未設定,,,
401,8,赤,5,A,未設定,,,
402,9,白,A,A,未設定,,,
403,9,白,B,A,未設定,,,
404,9,白,C,A,未設定,,,
405,9,白,D,A,未設定,,,
406,9,白,E,A,未設定,,,
407,9,白,F,A,未設定,,,
408,9,白,G,A,未設定,,,
409,9,白,H,A,未設定,,,
410,9,白,I,A,未設定,,,
411,9,白,J,A,未設定,,,
412,9,水色,A,A,未設定,,,
413,9,水色,B,A,未設定,,,
414,9,水色,C,A,未設定,,,
415,9,水色,D,A,未設定,,,
416,9,水色,E,A,未設定,,,
417,9,水色,F,A,未設定,,,
418,9,水色,G,A,未設定,,,
419,9,水色,H,A,未設定,,,
420,9,水色,I,A,未設定,,,
421,9,水色,J,A,未設定,,,
422,9,赤,A,A,未設定,,,
423,9,赤,B,A,未設定,,,
424,9,赤,C,A,未設定,,,
425,9,赤,D,A,未設定,,,
426,9,赤,E,A,未設定,,,
427,10,白,イ,A,未設定,,,
428,10,白,ロ,A,未設定,,,
429,10,白,ハ,A,未設定,,,
430,10,白,二,A,未設定,,,
431,10,白,ホ,A,未設定,,,
432,10,白,ヘ,A,未設定,,,
433,10,白,ト,A,未設定,,,
434,10,白,チ,A,未設定,,,
435,10,白,リ,A,未設定,,,
436,10,白,ヌ,A,未設定,,,
437,10,水色,イ,A,未設定,,,
438,10,水色,ロ,A,未設定,,,
439,10,水色,ハ,A,未設定,,,
440,10,水色,二,A,未設定,,,
441,10,水色,ホ,A,未設定,,,
442,10,水色,ヘ,A,未設定,,,
443,10,水色,ト,A,未設定,,,
444,10,水色,チ,A,未設定,,,
445,10,水色,リ,A,未設定,,,
446,10,水色,ヌ,A,未設定,,,
447,10,赤,イ,A,未設定,,,
448,10,赤,ロ,A,未設定,,,
449,10,赤,ハ,A,未設定,,,
450,10,赤,二,A,未設定,,,
451,10,赤,ホ,A,未設定,,,
452,11,白,1,A,未設定,,,
453,11,白,2,A,未設定,,,
454,11,白,3,A,未設定,,,
455,11,白,4,A,未設定,,,
456,11,白,5,A,未設定,,,
457,11,白,6,A,未設定,,,
458,11,白,7,A,未設定,,,
459,11,白,8,A,未設定,,,
460,11,白,9,A,未設定,,,
461,11,白,10,A,未設定,,,
462,11,水色,1,A,未設定,,,
463,11,水色,2,A,未設定,,,
464,11,水色,3,A,未設定,,,
465,11,水色,4,A,未設定,,,
466,11,水色,5,A,未設定,,,
467,11,水色,6,A,未設定,,,
468,11,水色,7,A,未設定,,,
469,11,水色,8,A,未設定,,,
470,11,水色,9,A,未設定,,,
471,11,水色,10,A,未設定,,,
472,11,赤,1,A,未設定,,,
473,11,赤,2,A,未設定,,,
474,11,赤,3,A,未設定,,,
475,11,赤,4,A,未設定,,,
476,11,赤,5,A,未設定,,,
477,12,白,A,A,未設定,,,
478,12,白,B,A,未設定,,,
479,12,白,C,A,未設定,,,
480,12,白,D,A,未設定,,,
481,12,白,E,A,未設定,,,
482,12,白,F,A,未設定,,,
483,12,白,G,A,未設定,,,
484,12,白,H,A,未設定,,,
485,12,白,I,A,未設定,,,
486,12,白,J,A,未設定,,,
487,12,水色,A,A,未設定,,,
488,12,水色,B,A,未設定,,,
489,12,水色,C,A,未設定,,,
490,12,水色,D,A,未設定,,,
491,12,水色,E,A,未設定,,,
492,12,水色,F,A,未設定,,,
493,12,水色,G,A,未設定,,,
494,12,水色,H,A,未設定,,,
495,12,水色,I,A,未設定,,,
496,12,水色,J,A,未設定,,,
497,12,赤,A,A,未設定,,,
498,12,赤,B,A,未設定,,,
499,12,赤,C,A,未設定,,,
500,12,赤,D,A,未設定,,,
501,12,赤,E,A,未設定,,,
502,13,白,い,A,未設定,,,
503,13,白,ろ,A,未設定,,,
504,13,白,は,A,未設定,,,
505,13,白,に,A,未設定,,,
506,13,白,ほ,A,未設定,,,
507,13,白,へ,A,未設定,,,
508,13,白,と,A,未設定,,,
509,13,白,ち,A,未設定,,,
510,13,白,り,A,未設定,,,
511,13,白,ぬ,A,未設定,,,
512,13,水色,い,A,未設定,,,
513,13,水色,ろ,A,未設定,,,
514,13,水色,は,A,未設定,,,
515,13,水色,に,A,未設定,,,
516,13,水色,ほ,A,未設定,,,
517,13,水色,へ,A,未設定,,,
518,13,水色,と,A,未設定,,,
519,13,水色,ち,A,未設定,,,
520,13,水色,り,A,未設定,,,
521,13,水色,ぬ,A,未設定,,,
522,13,赤,い,A,未設定,,,
523,13,赤,ろ,A,未設定,,,
524,13,赤,は,A,未設定,,,
525,13,赤,に,A,未設定,,,
526,13,赤,ほ,A,未設定,,,
527,14,白,1,A,未設定,,,
528,14,白,2,A,未設定,,,
529,14,白,3,A,未設定,,,
530,14,白,4,A,未設定,,,
531,14,白,5,A,未設定,,,
532,14,白,6,A,未設定,,,
533,14,白,7,A,未設定,,,
534,14,白,8,A,未設定,,,
535,14,白,9,A,未設定,,,
536,14,白,10,A,未設定,,,
537,14,水色,1,A,未設定,,,
538,14,水色,2,A,未設定,,,
539,14,水色,3,A,未設定,,,
540,14,水色,4,A,未設定,,,
541,14,水色,5,A,未設定,,,
542,14,水色,6,A,未設定,,,
543,14,水色,7,A,未設定,,,
544,14,水色,8,A,未設定,,,
545,14,水色,9,A,未設定,,,
546,14,水色,10,A,未設定,,,
547,14,赤,1,A,未設定,,,
548,14,赤,2,A,未設定,,,
549,14,赤,3,A,未設定,,,
550,14,赤,4,A,未設定,,,
551,14,赤,5,A,未設定,,,